Sample,TotalUnique,TotalDuplicates,Hi-C Contacts,Inter-chromosomal,Intra-chromosomal
ENCFF281ILS_IMR-90_CellLine_intactHi-C_GRCh38_10kbp_KR_VCSQRT,2434698533,1841367441,1086856605,271462344,815394261
ENCFF318GOM_GM12878_CellLine_intactHi-C_GRCh38_10kbp_KR_VCSQRT,2971069991,590757257,1757851232,417941489,1339909743
